chrom	start	end	genomeScore	label
chrX	48633375	48633400	2.2	H3K27ac
chrX	48633400	48633450	2	H3K27ac
chrX	48633450	48633475	2.16	H3K27ac
chrX	48633475	48633500	2	H3K27ac
chrX	48633500	48633525	2.28	H3K27ac
chrX	48633525	48633550	3.88	H3K27ac
chrX	48633550	48633575	3.4	H3K27ac
chrX	48633575	48633600	3.6	H3K27ac
chrX	48633600	48633625	5.36	H3K27ac
chrX	48633625	48633650	5.72	H3K27ac
chrX	48633650	48633700	5	H3K27ac
chrX	48633700	48633725	3.96	H3K27ac
chrX	48633725	48633750	3	H3K27ac
chrX	48633750	48633775	2.96	H3K27ac
chrX	48633775	48633800	1.76	H3K27ac
chrX	48633875	48633900	0.76	H3K27ac
chrX	48633900	48633950	1	H3K27ac
chrX	48633950	48633975	1.08	H3K27ac
chrX	48633975	48634000	6.16	H3K27ac
chrX	48634000	48634050	8	H3K27ac
chrX	48634050	48634075	7.8	H3K27ac
chrX	48634075	48634150	7	H3K27ac
chrX	48634150	48634175	5.68	H3K27ac
chrX	48634175	48634200	1.72	H3K27ac
chrX	48634200	48634225	1.48	H3K27ac
chrX	48634225	48634250	3.72	H3K27ac
chrX	48634250	48634275	5	H3K27ac
chrX	48634275	48634300	5.72	H3K27ac
chrX	48634300	48634325	6	H3K27ac
chrX	48634325	48634350	5.84	H3K27ac
chrX	48634350	48634375	6.96	H3K27ac
chrX	48634375	48634400	7	H3K27ac
chrX	48634400	48634425	5.56	H3K27ac
chrX	48634425	48634450	3.48	H3K27ac
chrX	48634450	48634500	2.84	H3K27ac
chrX	48634500	48634525	3.12	H3K27ac
chrX	48634525	48634550	3.16	H3K27ac
chrX	48634550	48634575	2.52	H3K27ac
chrX	48634575	48634600	4.24	H3K27ac
chrX	48634600	48634625	5.44	H3K27ac
chrX	48634625	48634650	6	H3K27ac
chrX	48634650	48634675	5.72	H3K27ac
chrX	48634675	48634700	5.28	H3K27ac
chrX	48634700	48634725	5.44	H3K27ac
chrX	48634725	48634750	5	H3K27ac
chrX	48634750	48634775	3.6	H3K27ac
chrX	48634775	48634800	2.32	H3K27ac
chrX	48634800	48634825	1.12	H3K27ac
chrX	48634825	48634850	2	H3K27ac
chrX	48634850	48634875	2.4	H3K27ac
chrX	48634875	48634900	2.28	H3K27ac
chrX	48634900	48634950	2	H3K27ac
chrX	48634950	48634975	2.36	H3K27ac
chrX	48634975	48635000	3.4	H3K27ac
chrX	48635000	48635025	6.4	H3K27ac
chrX	48635025	48635050	9.04	H3K27ac
chrX	48635050	48635100	13	H3K27ac
chrX	48635100	48635125	13.8	H3K27ac
chrX	48635125	48635150	15	H3K27ac
chrX	48635150	48635175	14.92	H3K27ac
chrX	48635175	48635225	15.84	H3K27ac
chrX	48635225	48635250	12.52	H3K27ac
chrX	48635250	48635275	10.2	H3K27ac
chrX	48635275	48635300	14.8	H3K27ac
chrX	48635300	48635325	13.36	H3K27ac
chrX	48635325	48635350	12.88	H3K27ac
chrX	48635350	48635375	12.76	H3K27ac
chrX	48635375	48635400	12.08	H3K27ac
chrX	48635400	48635425	10	H3K27ac
chrX	48635425	48635450	10.56	H3K27ac
chrX	48635450	48635475	10.04	H3K27ac
chrX	48635475	48635500	11	H3K27ac
chrX	48635500	48635525	13.24	H3K27ac
chrX	48635525	48635550	17.56	H3K27ac
chrX	48635550	48635575	20.08	H3K27ac
chrX	48635575	48635600	26.48	H3K27ac
chrX	48635600	48635625	29.92	H3K27ac
chrX	48635625	48635650	34	H3K27ac
chrX	48635650	48635675	37.48	H3K27ac
chrX	48635675	48635700	38.76	H3K27ac
chrX	48635700	48635725	41.32	H3K27ac
chrX	48635725	48635750	38	H3K27ac
chrX	48635750	48635775	34.6	H3K27ac
chrX	48635775	48635800	32.04	H3K27ac
chrX	48635800	48635825	30.56	H3K27ac
chrX	48635825	48635850	28.08	H3K27ac
chrX	48635850	48635875	21.28	H3K27ac
chrX	48635875	48635900	19.76	H3K27ac
chrX	48635900	48635925	17.56	H3K27ac
chrX	48635925	48635950	16.88	H3K27ac
chrX	48635950	48635975	14.12	H3K27ac
chrX	48635975	48636000	12.16	H3K27ac
chrX	48636000	48636025	8.36	H3K27ac
chrX	48636025	48636050	8	H3K27ac
chrX	48636050	48636075	7.04	H3K27ac
chrX	48636075	48636100	5.32	H3K27ac
chrX	48636100	48636125	5	H3K27ac
chrX	48636125	48636150	3.88	H3K27ac
chrX	48636150	48636225	2	H3K27ac
chrX	48636225	48636250	1.96	H3K27ac
chrX	48636250	48636275	0.96	H3K27ac
chrX	48636350	48636375	1.36	H3K27ac
chrX	48636375	48636500	2	H3K27ac
chrX	48636500	48636525	3.76	H3K27ac
chrX	48636525	48636550	3.72	H3K27ac
chrX	48636550	48636575	2.04	H3K27ac
chrX	48636575	48636650	2	H3K27ac
chrX	48636650	48636675	2.8	H3K27ac
chrX	48636675	48636700	3.44	H3K27ac
chrX	48636700	48636775	3	H3K27ac
chrX	48636775	48636800	3.96	H3K27ac
chrX	48636800	48636825	4	H3K27ac
chrX	48636825	48636850	3.76	H3K27ac
chrX	48636850	48636875	3.52	H3K27ac
chrX	48636875	48636900	2.4	H3K27ac
chrX	48636900	48636950	2	H3K27ac
chrX	48636950	48636975	1.6	H3K27ac
chrX	48636975	48637000	1.52	H3K27ac
chrX	48637000	48637025	2	H3K27ac
chrX	48637025	48637050	1.68	H3K27ac
chrX	48637050	48637075	1	H3K27ac
chrX	48637075	48637100	1.72	H3K27ac
chrX	48637100	48637125	2.36	H3K27ac
chrX	48637125	48637175	3	H3K27ac
chrX	48637175	48637200	2.92	H3K27ac
chrX	48637200	48637250	3	H3K27ac
chrX	48637250	48637275	3.84	H3K27ac
chrX	48637275	48637300	4	H3K27ac
chrX	48637300	48637325	3.48	H3K27ac
chrX	48637325	48637350	4.56	H3K27ac
chrX	48637350	48637375	4.68	H3K27ac
chrX	48637375	48637425	4	H3K27ac
chrX	48637425	48637450	3.6	H3K27ac
chrX	48637450	48637475	3.12	H3K27ac
chrX	48637475	48637500	3	H3K27ac
chrX	48637500	48637525	2.6	H3K27ac
chrX	48637525	48637550	2	H3K27ac
chrX	48637550	48637575	2.72	H3K27ac
chrX	48637575	48637600	3	H3K27ac
chrX	48637600	48637625	3.2	H3K27ac
chrX	48637625	48637650	7	H3K27ac
chrX	48637650	48637675	8.64	H3K27ac
chrX	48637675	48637700	9	H3K27ac
chrX	48637700	48637725	9.24	H3K27ac
chrX	48637725	48637750	8.84	H3K27ac
chrX	48637750	48637800	8	H3K27ac
chrX	48637800	48637825	7.48	H3K27ac
chrX	48637825	48637850	5.36	H3K27ac
chrX	48637850	48637875	5	H3K27ac
chrX	48637875	48637900	5.04	H3K27ac
chrX	48637900	48637925	6.24	H3K27ac
chrX	48637925	48637975	7	H3K27ac
chrX	48637975	48638000	7.52	H3K27ac
chrX	48638000	48638025	6	H3K27ac
chrX	48638025	48638050	4.44	H3K27ac
chrX	48638050	48638075	4.32	H3K27ac
chrX	48638075	48638100	3.64	H3K27ac
chrX	48638100	48638125	2.32	H3K27ac
chrX	48638125	48638150	2.2	H3K27ac
chrX	48638150	48638175	4.48	H3K27ac
chrX	48638175	48638200	5.04	H3K27ac
chrX	48638200	48638225	5.52	H3K27ac
chrX	48638225	48638250	8	H3K27ac
chrX	48638250	48638275	7.88	H3K27ac
chrX	48638275	48638325	10	H3K27ac
chrX	48638325	48638350	9	H3K27ac
chrX	48638350	48638375	6.56	H3K27ac
chrX	48638375	48638400	6	H3K27ac
chrX	48638400	48638425	4.16	H3K27ac
chrX	48638425	48638450	3	H3K27ac
chrX	48638450	48638475	1.04	H3K27ac
chrX	48638475	48638500	1.2	H3K27ac
chrX	48638500	48638525	2	H3K27ac
chrX	48638525	48638550	2.24	H3K27ac
chrX	48638550	48638650	3	H3K27ac
chrX	48638650	48638675	2.92	H3K27ac
chrX	48638675	48638700	1.12	H3K27ac
chrX	48638700	48638725	2	H3K27ac
chrX	48638725	48638750	1.32	H3K27ac
chrX	48638750	48638775	1.68	H3K27ac
chrX	48638775	48638850	2	H3K27ac
chrX	48638850	48638875	2.32	H3K27ac
chrX	48638875	48638900	2.44	H3K27ac
chrX	48638900	48638925	2	H3K27ac
chrX	48638925	48638950	1.88	H3K27ac
chrX	48638950	48639050	1	H3K27ac
chrX	48639050	48639075	0.24	H3K27ac
chrX	48639075	48639100	0.4	H3K27ac
chrX	48639100	48639125	1.28	H3K27ac
chrX	48639125	48639150	4.88	H3K27ac
chrX	48639150	48639175	6	H3K27ac
chrX	48639175	48639200	8.68	H3K27ac
chrX	48639200	48639250	9	H3K27ac
chrX	48639250	48639275	9.84	H3K27ac
chrX	48639275	48639300	9.16	H3K27ac
chrX	48639300	48639325	7.64	H3K27ac
chrX	48639325	48639350	4	H3K27ac
chrX	48639350	48639375	3.44	H3K27ac
chrX	48639375	48639400	2.76	H3K27ac
chrX	48639400	48639425	3	H3K27ac
chrX	48639425	48639450	2.72	H3K27ac
chrX	48639450	48639550	2	H3K27ac
chrX	48639550	48639575	0.92	H3K27ac
chrX	48639700	48639725	2.12	H3K27ac
chrX	48639725	48639775	5	H3K27ac
chrX	48639775	48639800	5.92	H3K27ac
chrX	48639800	48639825	6.24	H3K27ac
chrX	48639825	48639875	8	H3K27ac
chrX	48639875	48639900	8.32	H3K27ac
chrX	48639900	48639925	5.12	H3K27ac
chrX	48639925	48639950	5	H3K27ac
chrX	48639950	48639975	5.64	H3K27ac
chrX	48639975	48640000	6.48	H3K27ac
chrX	48640000	48640025	6.88	H3K27ac
chrX	48640025	48640050	6	H3K27ac
chrX	48640050	48640075	6.2	H3K27ac
chrX	48640075	48640100	6.04	H3K27ac
chrX	48640100	48640125	5.48	H3K27ac
chrX	48640125	48640150	5.8	H3K27ac
chrX	48640150	48640175	4.32	H3K27ac
chrX	48640175	48640200	3.32	H3K27ac
chrX	48640200	48640250	3	H3K27ac
chrX	48640250	48640275	2.36	H3K27ac
chrX	48640275	48640300	2	H3K27ac
chrX	48640300	48640325	1.4	H3K27ac
chrX	48640325	48640350	1.92	H3K27ac
chrX	48640350	48640375	3.88	H3K27ac
chrX	48640375	48640400	3	H3K27ac
chrX	48640400	48640425	4.44	H3K27ac
chrX	48640425	48640450	6	H3K27ac
chrX	48640450	48640475	9.68	H3K27ac
chrX	48640475	48640500	11	H3K27ac
chrX	48640500	48640525	11.16	H3K27ac
chrX	48640525	48640550	9.84	H3K27ac
chrX	48640550	48640575	9.56	H3K27ac
chrX	48640575	48640600	9.68	H3K27ac
chrX	48640600	48640625	7.56	H3K27ac
chrX	48640625	48640650	8.4	H3K27ac
chrX	48640650	48640675	9.72	H3K27ac
chrX	48640675	48640700	11.44	H3K27ac
chrX	48640700	48640725	13.24	H3K27ac
chrX	48640725	48640750	14.88	H3K27ac
chrX	48640750	48640775	14.6	H3K27ac
chrX	48640775	48640800	15.6	H3K27ac
chrX	48640800	48640825	17.72	H3K27ac
chrX	48640825	48640850	13.72	H3K27ac
chrX	48640850	48640875	12.76	H3K27ac
chrX	48640875	48640900	13.16	H3K27ac
chrX	48640900	48640925	13.04	H3K27ac
chrX	48640925	48640950	15.12	H3K27ac
chrX	48640950	48640975	18.2	H3K27ac
chrX	48640975	48641000	26.2	H3K27ac
chrX	48641000	48641025	30	H3K27ac
chrX	48641025	48641050	31.04	H3K27ac
chrX	48641050	48641075	34.28	H3K27ac
chrX	48641075	48641100	44.2	H3K27ac
chrX	48641100	48641125	58	H3K27ac
chrX	48641125	48641150	70.44	H3K27ac
chrX	48641150	48641175	73.8	H3K27ac
chrX	48641175	48641200	73.12	H3K27ac
chrX	48641200	48641225	72.32	H3K27ac
chrX	48641225	48641250	73.48	H3K27ac
chrX	48641250	48641275	69.4	H3K27ac
chrX	48641275	48641300	53.92	H3K27ac
chrX	48641300	48641325	37.44	H3K27ac
chrX	48641325	48641350	25.96	H3K27ac
chrX	48641350	48641375	19.72	H3K27ac
chrX	48641375	48641400	16.72	H3K27ac
chrX	48641400	48641425	15.04	H3K27ac
chrX	48641425	48641450	10.44	H3K27ac
chrX	48641450	48641475	12.6	H3K27ac
chrX	48641475	48641500	16.68	H3K27ac
chrX	48641500	48641525	27.48	H3K27ac
chrX	48641525	48641550	39.12	H3K27ac
chrX	48641550	48641575	54.4	H3K27ac
chrX	48641575	48641600	68.04	H3K27ac
chrX	48641600	48641625	80.68	H3K27ac
chrX	48641625	48641650	89.76	H3K27ac
chrX	48641650	48641675	92	H3K27ac
chrX	48641675	48641700	89.64	H3K27ac
chrX	48641700	48641725	85.64	H3K27ac
chrX	48641725	48641750	81.8	H3K27ac
chrX	48641750	48641775	71.76	H3K27ac
chrX	48641775	48641800	68.04	H3K27ac
chrX	48641800	48641825	60.48	H3K27ac
chrX	48641825	48641850	54.64	H3K27ac
chrX	48641850	48641875	56.08	H3K27ac
chrX	48641875	48641900	61.08	H3K27ac
chrX	48641900	48641925	56.32	H3K27ac
chrX	48641925	48641950	53.28	H3K27ac
chrX	48641950	48641975	46.52	H3K27ac
chrX	48641975	48642000	44.4	H3K27ac
chrX	48642000	48642025	40.16	H3K27ac
chrX	48642025	48642050	39.6	H3K27ac
chrX	48642050	48642075	29.64	H3K27ac
chrX	48642075	48642100	22.08	H3K27ac
chrX	48642100	48642125	15.2	H3K27ac
chrX	48642125	48642150	10.92	H3K27ac
chrX	48642150	48642175	7.24	H3K27ac
chrX	48642175	48642200	6	H3K27ac
chrX	48642200	48642225	5.52	H3K27ac
chrX	48642225	48642250	4.68	H3K27ac
chrX	48642250	48642275	4.96	H3K27ac
chrX	48642275	48642325	5	H3K27ac
chrX	48642325	48642350	5.8	H3K27ac
chrX	48642350	48642375	3.92	H3K27ac
chrX	48642375	48642400	3	H3K27ac
chrX	48642400	48642425	2.12	H3K27ac
chrX	48642425	48642450	1.92	H3K27ac
chrX	48642450	48642475	2.84	H3K27ac
chrX	48642475	48642500	7.52	H3K27ac
chrX	48642500	48642525	7.8	H3K27ac
chrX	48642525	48642550	8.28	H3K27ac
chrX	48642550	48642625	9	H3K27ac
chrX	48642625	48642650	8.4	H3K27ac
chrX	48642650	48642675	6.04	H3K27ac
chrX	48642675	48642700	4	H3K27ac
chrX	48642700	48642725	4.24	H3K27ac
chrX	48642725	48642750	4.28	H3K27ac
chrX	48642750	48642775	4	H3K27ac
chrX	48642775	48642800	4.72	H3K27ac
chrX	48642800	48642825	5	H3K27ac
chrX	48642825	48642850	4.4	H3K27ac
chrX	48642850	48642875	3.52	H3K27ac
chrX	48642875	48642900	3.28	H3K27ac
chrX	48642900	48642925	2.24	H3K27ac
chrX	48642925	48642950	2	H3K27ac
chrX	48642950	48642975	1.84	H3K27ac
chrX	48642975	48643000	2.16	H3K27ac
chrX	48643000	48643025	6.68	H3K27ac
chrX	48643025	48643050	7.84	H3K27ac
chrX	48643050	48643075	11.2	H3K27ac
chrX	48643075	48643100	13.68	H3K27ac
chrX	48643100	48643125	14.68	H3K27ac
chrX	48643125	48643150	18.24	H3K27ac
chrX	48643150	48643175	22.72	H3K27ac
chrX	48643175	48643200	21.56	H3K27ac
chrX	48643200	48643225	25.44	H3K27ac
chrX	48643225	48643250	27.24	H3K27ac
chrX	48643250	48643275	26.92	H3K27ac
chrX	48643275	48643300	28.28	H3K27ac
chrX	48643300	48643325	31.24	H3K27ac
chrX	48643325	48643350	32.08	H3K27ac
chrX	48643350	48643375	29.56	H3K27ac
chrX	48643375	48643400	29.72	H3K27ac
chrX	48643400	48643425	27.44	H3K27ac
chrX	48643425	48643450	29.84	H3K27ac
chrX	48643450	48643475	28.68	H3K27ac
chrX	48643475	48643500	27.36	H3K27ac
chrX	48643500	48643525	24.92	H3K27ac
chrX	48643525	48643550	26.32	H3K27ac
chrX	48643550	48643575	27.32	H3K27ac
chrX	48643575	48643600	24.6	H3K27ac
chrX	48643600	48643625	23.56	H3K27ac
chrX	48643625	48643650	23.24	H3K27ac
chrX	48643650	48643675	25.12	H3K27ac
chrX	48643675	48643700	27.04	H3K27ac
chrX	48643700	48643725	39.96	H3K27ac
chrX	48643725	48643750	51.92	H3K27ac
chrX	48643750	48643775	59.96	H3K27ac
chrX	48643775	48643800	64.48	H3K27ac
chrX	48643800	48643825	70.84	H3K27ac
chrX	48643825	48643850	73.12	H3K27ac
chrX	48643850	48643875	72.44	H3K27ac
chrX	48643875	48643900	69.56	H3K27ac
chrX	48643900	48643925	55.56	H3K27ac
chrX	48643925	48643950	47.72	H3K27ac
chrX	48643950	48643975	45.48	H3K27ac
chrX	48643975	48644000	41.2	H3K27ac
chrX	48644000	48644025	33.6	H3K27ac
chrX	48644025	48644050	36.84	H3K27ac
chrX	48644050	48644075	38.96	H3K27ac
chrX	48644075	48644100	39.72	H3K27ac
chrX	48644100	48644125	39.28	H3K27ac
chrX	48644125	48644150	47.84	H3K27ac
chrX	48644150	48644175	57.44	H3K27ac
chrX	48644175	48644200	61.08	H3K27ac
chrX	48644200	48644225	60.88	H3K27ac
chrX	48644225	48644250	57.76	H3K27ac
chrX	48644250	48644275	57.08	H3K27ac
chrX	48644275	48644300	55	H3K27ac
chrX	48644300	48644325	48	H3K27ac
chrX	48644325	48644350	35.84	H3K27ac
chrX	48644350	48644375	28.92	H3K27ac
chrX	48644375	48644400	29.64	H3K27ac
chrX	48644400	48644425	31.08	H3K27ac
chrX	48644425	48644450	31.56	H3K27ac
chrX	48644450	48644475	33.8	H3K27ac
chrX	48644475	48644500	40.88	H3K27ac
chrX	48644500	48644525	43.72	H3K27ac
chrX	48644525	48644550	49.2	H3K27ac
chrX	48644550	48644575	46.48	H3K27ac
chrX	48644575	48644600	45.12	H3K27ac
chrX	48644600	48644625	46.52	H3K27ac
chrX	48644625	48644650	45.24	H3K27ac
chrX	48644650	48644675	45.12	H3K27ac
chrX	48644675	48644700	46.64	H3K27ac
chrX	48644700	48644725	41.52	H3K27ac
chrX	48644725	48644750	36.32	H3K27ac
chrX	48644750	48644775	35.32	H3K27ac
chrX	48644775	48644800	31.28	H3K27ac
chrX	48644800	48644825	23.88	H3K27ac
chrX	48644825	48644850	19.52	H3K27ac
chrX	48644850	48644875	9.48	H3K27ac
chrX	48644875	48644900	5.96	H3K27ac
chrX	48644900	48644925	6.44	H3K27ac
chrX	48644925	48644950	11.44	H3K27ac
chrX	48644950	48644975	20.04	H3K27ac
chrX	48644975	48645000	33.2	H3K27ac
chrX	48645000	48645025	51.28	H3K27ac
chrX	48645025	48645050	68.48	H3K27ac
chrX	48645050	48645075	77.44	H3K27ac
chrX	48645075	48645100	90.52	H3K27ac
chrX	48645100	48645150	98	H3K27ac
chrX	48645150	48645175	95.68	H3K27ac
chrX	48645175	48645200	92.16	H3K27ac
chrX	48645200	48645225	87.96	H3K27ac
chrX	48645225	48645250	86.48	H3K27ac
chrX	48645250	48645275	93.32	H3K27ac
chrX	48645275	48645300	100.72	H3K27ac
chrX	48645300	48645325	110.92	H3K27ac
chrX	48645325	48645350	128.08	H3K27ac
chrX	48645350	48645375	134.24	H3K27ac
chrX	48645375	48645400	137.28	H3K27ac
chrX	48645400	48645425	137.04	H3K27ac
chrX	48645425	48645450	133.04	H3K27ac
chrX	48645450	48645475	137.16	H3K27ac
chrX	48645475	48645500	137.08	H3K27ac
chrX	48645500	48645525	132.68	H3K27ac
chrX	48645525	48645550	122.64	H3K27ac
chrX	48645550	48645575	121.16	H3K27ac
chrX	48645575	48645600	119.68	H3K27ac
chrX	48645600	48645625	128.36	H3K27ac
chrX	48645625	48645650	133.04	H3K27ac
chrX	48645650	48645675	137.68	H3K27ac
chrX	48645675	48645700	137.56	H3K27ac
chrX	48645700	48645725	141.68	H3K27ac
chrX	48645725	48645750	150.96	H3K27ac
chrX	48645750	48645775	151.8	H3K27ac
chrX	48645775	48645800	149.44	H3K27ac
chrX	48645800	48645825	141.4	H3K27ac
chrX	48645825	48645850	126.88	H3K27ac
chrX	48645850	48645875	114.4	H3K27ac
chrX	48645875	48645900	112.52	H3K27ac
chrX	48645900	48645925	105.64	H3K27ac
chrX	48645925	48645950	97.88	H3K27ac
chrX	48645950	48645975	96.36	H3K27ac
chrX	48645975	48646000	96.08	H3K27ac
chrX	48646000	48646025	96.32	H3K27ac
chrX	48646025	48646050	96.8	H3K27ac
chrX	48646050	48646075	97.72	H3K27ac
chrX	48646075	48646100	96.6	H3K27ac
chrX	48646100	48646125	97.12	H3K27ac
chrX	48646125	48646150	99.64	H3K27ac
chrX	48646150	48646175	94.6	H3K27ac
chrX	48646175	48646200	89.56	H3K27ac
chrX	48646200	48646225	89.52	H3K27ac
chrX	48646225	48646250	86.12	H3K27ac
chrX	48646250	48646275	82.84	H3K27ac
chrX	48646275	48646300	79.8	H3K27ac
chrX	48646300	48646325	73.04	H3K27ac
chrX	48646325	48646350	67	H3K27ac
chrX	48646350	48646375	66.88	H3K27ac
chrX	48646375	48646400	62.52	H3K27ac
chrX	48646400	48646425	55.08	H3K27ac
chrX	48646425	48646450	45.16	H3K27ac
chrX	48646450	48646475	46.28	H3K27ac
chrX	48646475	48646500	47.88	H3K27ac
chrX	48646500	48646525	48.68	H3K27ac
chrX	48646525	48646550	50.68	H3K27ac
chrX	48646550	48646575	53.48	H3K27ac
chrX	48646575	48646600	52.88	H3K27ac
chrX	48646600	48646625	58.08	H3K27ac
chrX	48646625	48646650	59.72	H3K27ac
chrX	48646650	48646675	51.92	H3K27ac
chrX	48646675	48646700	50.2	H3K27ac
chrX	48646700	48646725	48.68	H3K27ac
chrX	48646725	48646750	48.88	H3K27ac
chrX	48646750	48646775	57.24	H3K27ac
chrX	48646775	48646800	69.28	H3K27ac
chrX	48646800	48646825	81.32	H3K27ac
chrX	48646825	48646850	91.88	H3K27ac
chrX	48646850	48646875	105.56	H3K27ac
chrX	48646875	48646900	112.16	H3K27ac
chrX	48646900	48646925	118.64	H3K27ac
chrX	48646925	48646950	124.28	H3K27ac
chrX	48646950	48646975	125.4	H3K27ac
chrX	48646975	48647000	114.48	H3K27ac
chrX	48647000	48647025	111.84	H3K27ac
chrX	48647025	48647050	109.24	H3K27ac
chrX	48647050	48647075	106.24	H3K27ac
chrX	48647075	48647100	110.76	H3K27ac
chrX	48647100	48647125	111.4	H3K27ac
chrX	48647125	48647150	110.48	H3K27ac
chrX	48647150	48647175	108.24	H3K27ac
chrX	48647175	48647200	99.6	H3K27ac
chrX	48647200	48647225	89.32	H3K27ac
chrX	48647225	48647250	80.24	H3K27ac
chrX	48647250	48647275	78.24	H3K27ac
chrX	48647275	48647300	74	H3K27ac
chrX	48647300	48647325	61	H3K27ac
chrX	48647325	48647350	51.84	H3K27ac
chrX	48647350	48647375	54.68	H3K27ac
chrX	48647375	48647400	56.28	H3K27ac
chrX	48647400	48647425	53.92	H3K27ac
chrX	48647425	48647450	52.68	H3K27ac
chrX	48647450	48647475	40.6	H3K27ac
chrX	48647475	48647500	33.28	H3K27ac
chrX	48647500	48647525	30.2	H3K27ac
chrX	48647525	48647550	24	H3K27ac
chrX	48647550	48647575	19.12	H3K27ac
chrX	48647575	48647600	13.92	H3K27ac
chrX	48647600	48647625	13.04	H3K27ac
chrX	48647625	48647650	12.52	H3K27ac
chrX	48647650	48647675	16.28	H3K27ac
chrX	48647675	48647700	18.96	H3K27ac
chrX	48647700	48647725	21.2	H3K27ac
chrX	48647725	48647750	30.12	H3K27ac
chrX	48647750	48647775	35.64	H3K27ac
chrX	48647775	48647800	37.72	H3K27ac
chrX	48647800	48647825	41.4	H3K27ac
chrX	48647825	48647850	43.84	H3K27ac
chrX	48647850	48647875	43.44	H3K27ac
chrX	48647875	48647900	45.88	H3K27ac
chrX	48647900	48647925	48.16	H3K27ac
chrX	48647925	48647950	41.92	H3K27ac
chrX	48647950	48647975	40.12	H3K27ac
chrX	48647975	48648000	39.08	H3K27ac
chrX	48648000	48648025	34.36	H3K27ac
chrX	48648025	48648050	30.68	H3K27ac
chrX	48648050	48648075	27.36	H3K27ac
chrX	48648075	48648100	25.64	H3K27ac
chrX	48648100	48648125	24.16	H3K27ac
chrX	48648125	48648150	24.76	H3K27ac
chrX	48648150	48648175	25.52	H3K27ac
chrX	48648175	48648200	23.76	H3K27ac
chrX	48648200	48648225	27.68	H3K27ac
chrX	48648225	48648250	33.16	H3K27ac
chrX	48648250	48648275	33.72	H3K27ac
chrX	48648275	48648300	36.52	H3K27ac
chrX	48648300	48648325	38.76	H3K27ac
chrX	48648325	48648350	35.76	H3K27ac
chrX	48648350	48648375	35	H3K27ac
chrX	48648375	48648400	31.24	H3K27ac
chrX	48648400	48648425	26.68	H3K27ac
chrX	48648425	48648450	23.72	H3K27ac
chrX	48648450	48648475	22	H3K27ac
chrX	48648475	48648500	16.96	H3K27ac
chrX	48648500	48648525	16.12	H3K27ac
chrX	48648525	48648550	18.52	H3K27ac
chrX	48648550	48648575	19.56	H3K27ac
chrX	48648575	48648600	18.88	H3K27ac
chrX	48648600	48648625	17.92	H3K27ac
chrX	48648625	48648650	15.04	H3K27ac
chrX	48648650	48648675	12.32	H3K27ac
chrX	48648675	48648700	13.92	H3K27ac
chrX	48648700	48648725	13	H3K27ac
chrX	48648725	48648750	12.4	H3K27ac
chrX	48648750	48648775	12.72	H3K27ac
chrX	48648775	48648800	18.24	H3K27ac
chrX	48648800	48648825	18.88	H3K27ac
chrX	48648825	48648850	24.44	H3K27ac
chrX	48648850	48648875	26.88	H3K27ac
chrX	48648875	48648900	29.68	H3K27ac
chrX	48648900	48648925	30.72	H3K27ac
chrX	48648925	48648950	32.8	H3K27ac
chrX	48648950	48648975	30.92	H3K27ac
chrX	48648975	48649000	29.44	H3K27ac
chrX	48649000	48649025	28.64	H3K27ac
chrX	48649025	48649050	27.96	H3K27ac
chrX	48649050	48649100	31.56	H3K27ac
chrX	48649100	48649125	29.56	H3K27ac
chrX	48649125	48649150	29	H3K27ac
chrX	48649150	48649175	30.56	H3K27ac
chrX	48649175	48649200	30.76	H3K27ac
chrX	48649200	48649225	30.6	H3K27ac
chrX	48649225	48649250	22.44	H3K27ac
chrX	48649250	48649275	18.32	H3K27ac
chrX	48649275	48649300	14	H3K27ac
chrX	48649300	48649325	12.24	H3K27ac
chrX	48649325	48649350	10.28	H3K27ac
chrX	48649350	48649375	8.44	H3K27ac
chrX	48649375	48649400	5.68	H3K27ac
chrX	48649400	48649425	4.8	H3K27ac
chrX	48649425	48649450	3	H3K27ac
chrX	48649450	48649475	3.24	H3K27ac
chrX	48649475	48649500	4	H3K27ac
chrX	48649500	48649525	2.84	H3K27ac
chrX	48649525	48649550	3.88	H3K27ac
chrX	48649550	48649575	5.24	H3K27ac
chrX	48649575	48649600	7.4	H3K27ac
chrX	48649600	48649625	11.56	H3K27ac
chrX	48649625	48649650	15.08	H3K27ac
chrX	48649650	48649675	16.8	H3K27ac
chrX	48649675	48649700	19.52	H3K27ac
chrX	48649700	48649725	19.8	H3K27ac
chrX	48649725	48649750	19.84	H3K27ac
chrX	48649750	48649775	18	H3K27ac
chrX	48649775	48649800	15	H3K27ac
chrX	48649800	48649825	10.68	H3K27ac
chrX	48649825	48649850	8.2	H3K27ac
chrX	48649850	48649875	8.24	H3K27ac
chrX	48649875	48649900	7.32	H3K27ac
chrX	48649900	48649925	6.28	H3K27ac
chrX	48649925	48649950	6.64	H3K27ac
chrX	48649950	48649975	7.88	H3K27ac
chrX	48649975	48650000	11	H3K27ac
chrX	48650000	48650025	13.8	H3K27ac
chrX	48650025	48650050	11.96	H3K27ac
chrX	48650050	48650075	11.16	H3K27ac
chrX	48650075	48650100	10.28	H3K27ac
chrX	48650100	48650125	11.88	H3K27ac
chrX	48650125	48650150	14.72	H3K27ac
chrX	48650150	48650175	13.08	H3K27ac
chrX	48650175	48650200	14.6	H3K27ac
chrX	48650200	48650225	15	H3K27ac
